CHROM	POS	N_ALLELES	N_CHR	p1	p2	pop
chr1	42352	2	32	0.9375	0.0625	BT
chr1	42452	2	32	0.9375	0.0625	BT
chr1	42636	2	32	0.75	0.25	BT
chr1	42688	2	30	1	0	BT
chr1	42723	2	32	1	0	BT
chr1	42726	2	32	0.78125	0.21875	BT
chr1	42764	2	32	0.90625	0.09375	BT
chr1	42893	2	32	1	0	BT
chr1	43028	2	32	0.84375	0.15625	BT
chr1	43125	2	30	0.966667	0.0333333	BT
chr1	43230	2	28	0.928571	0.0714286	BT
chr1	43494	2	32	0.96875	0.03125	BT
chr1	43505	2	32	0.875	0.125	BT
chr1	43518	2	32	1	0	BT
chr1	43535	2	32	0.9375	0.0625	BT
chr1	43553	2	32	0.96875	0.03125	BT
chr1	43556	2	32	0.96875	0.03125	BT
chr1	43638	2	30	0.833333	0.166667	BT
chr1	43685	2	30	1	0	BT
chr1	43716	2	32	0.78125	0.21875	BT
chr1	43927	2	32	0.90625	0.09375	BT
chr1	43929	2	32	0.8125	0.1875	BT
chr1	43937	2	32	1	0	BT
chr1	43950	2	32	0.59375	0.40625	BT
chr1	43953	2	32	0.75	0.25	BT
chr1	43987	2	30	1	0	BT
chr1	43996	2	32	0.84375	0.15625	BT
chr1	44008	2	32	0.9375	0.0625	BT
chr1	44076	2	32	0.46875	0.53125	BT
chr1	44213	2	32	0.78125	0.21875	BT
chr1	44291	2	28	1	0	BT
chr1	44324	2	28	0.714286	0.285714	BT
chr1	44506	2	32	1	0	BT
chr1	44552	2	32	1	0	BT
chr1	44557	2	32	0.84375	0.15625	BT
chr1	44561	2	32	0.71875	0.28125	BT
chr1	44666	2	30	0.9	0.1	BT
chr1	44684	2	24	1	0	BT
chr1	44687	2	24	1	0	BT
chr1	44708	2	24	1	0	BT
chr1	44868	2	30	1	0	BT
chr1	44885	2	30	0.866667	0.133333	BT
chr1	44944	2	30	0.866667	0.133333	BT
chr1	45010	2	28	1	0	BT
chr1	45011	2	28	1	0	BT
chr1	45800	2	32	1	0	BT
chr1	45801	2	32	1	0	BT
chr1	45804	2	32	1	0	BT
chr1	45808	2	32	0.9375	0.0625	BT
chr1	45812	2	32	0.84375	0.15625	BT
chr1	45839	2	28	0.821429	0.178571	BT
chr1	45907	2	32	1	0	BT
chr1	45908	2	32	1	0	BT
chr1	45909	2	32	0.90625	0.09375	BT
chr1	45910	2	32	0.96875	0.03125	BT
chr1	45933	2	32	1	0	BT
chr1	46027	2	30	0.866667	0.133333	BT
chr1	46063	2	32	1	0	BT
chr1	46113	2	32	1	0	BT
chr1	46560	2	30	0.333333	0.666667	BT
chr1	46722	2	30	1	0	BT
chr1	46804	2	32	0.90625	0.09375	BT
chr1	46807	2	32	0.9375	0.0625	BT
chr1	46808	2	32	0.96875	0.03125	BT
chr1	46812	2	32	0.96875	0.03125	BT
chr1	46830	2	32	1	0	BT
chr1	47253	2	22	1	0	BT
chr1	47288	2	32	1	0	BT
chr1	47401	2	30	1	0	BT
chr1	47836	2	30	0.766667	0.233333	BT
chr1	47956	2	32	0.84375	0.15625	BT
chr1	47959	2	32	1	0	BT
chr1	47960	2	32	1	0	BT
chr1	48041	2	32	1	0	BT
chr1	48379	2	32	0.8125	0.1875	BT
chr1	48416	2	32	0.90625	0.09375	BT
chr1	48461	2	32	1	0	BT
chr1	48652	2	24	0	1	BT
chr1	48936	2	32	1	0	BT
chr1	48943	2	32	0.90625	0.09375	BT
chr1	48992	2	32	0.9375	0.0625	BT
chr1	49023	2	32	0.90625	0.09375	BT
chr1	49123	2	32	1	0	BT
chr1	49188	2	32	0.90625	0.09375	BT
chr1	49207	2	32	0.875	0.125	BT
chr1	49425	2	30	0.866667	0.133333	BT
chr1	49492	2	32	1	0	BT
chr1	49656	2	28	0.785714	0.214286	BT
chr1	49672	2	28	0.892857	0.107143	BT
chr1	49914	2	32	1	0	BT
chr1	50132	2	30	0.966667	0.0333333	BT
chr1	50263	2	30	1	0	BT
chr1	50296	2	32	0.90625	0.09375	BT
chr1	50325	2	32	0.90625	0.09375	BT
chr1	50345	2	28	0.714286	0.285714	BT
chr1	51128	2	30	1	0	BT
chr1	51145	2	30	0.833333	0.166667	BT
chr1	51297	2	24	0.875	0.125	BT
chr1	51340	2	32	1	0	BT
chr1	51367	2	32	0.53125	0.46875	BT
chr1	51520	2	30	0.5	0.5	BT
chr1	51618	2	28	0.928571	0.0714286	BT
chr1	51643	2	32	1	0	BT
chr1	51658	2	32	0.78125	0.21875	BT
chr1	51680	2	32	1	0	BT
chr1	51691	2	32	0.90625	0.09375	BT
chr1	51723	2	30	0.9	0.1	BT
chr1	51879	2	32	0.90625	0.09375	BT
chr1	52068	2	32	1	0	BT
chr1	52399	2	30	0.566667	0.433333	BT
chr1	52652	2	32	0.96875	0.03125	BT
chr1	52831	2	32	1	0	BT
chr1	52923	2	32	0.875	0.125	BT
chr1	52950	2	32	0.875	0.125	BT
chr1	52985	2	32	1	0	BT
chr1	53057	2	30	0.866667	0.133333	BT
chr1	53112	2	30	0.966667	0.0333333	BT
chr1	53130	2	30	0.533333	0.466667	BT
chr1	53176	2	32	0.96875	0.03125	BT
chr1	53249	2	30	0.733333	0.266667	BT
chr1	53265	2	30	0.9	0.1	BT
chr1	53310	2	30	0.966667	0.0333333	BT
chr1	53466	2	32	0.9375	0.0625	BT
chr1	53526	2	32	0.5625	0.4375	BT
chr1	53925	2	32	0.75	0.25	BT
chr1	53934	2	30	1	0	BT
chr1	54008	2	32	1	0	BT
chr1	54009	2	32	0.6875	0.3125	BT
chr1	54016	2	32	1	0	BT
chr1	54068	2	32	1	0	BT
chr1	54078	2	32	0.875	0.125	BT
chr1	54103	2	32	0.875	0.125	BT
chr1	54393	2	32	1	0	BT
chr1	54560	2	30	0.9	0.1	BT
chr1	54712	2	32	0.71875	0.28125	BT
chr1	54717	2	32	0.46875	0.53125	BT
chr1	54819	2	28	0.928571	0.0714286	BT
chr1	54859	2	30	1	0	BT
chr1	55219	2	32	1	0	BT
chr1	55263	2	32	1	0	BT
chr1	55357	2	32	0.53125	0.46875	BT
chr1	55559	2	30	0.966667	0.0333333	BT
chr1	55567	2	30	1	0	BT
chr1	55772	2	32	1	0	BT
chr1	55844	2	30	0.966667	0.0333333	BT
chr1	55845	2	30	0.9	0.1	BT
chr1	55848	2	30	1	0	BT
chr1	55861	2	30	0.966667	0.0333333	BT
chr1	55862	2	30	0.9	0.1	BT
chr1	56095	2	32	0.90625	0.09375	BT
chr1	56099	2	32	1	0	BT
chr1	56108	2	32	1	0	BT
chr1	56438	2	32	1	0	BT
chr1	56487	2	32	1	0	BT
chr1	56503	2	32	0.84375	0.15625	BT
chr1	56622	2	28	0.964286	0.0357143	BT
chr1	56673	2	32	0.78125	0.21875	BT
chr1	56802	2	30	0.866667	0.133333	BT
chr1	56864	2	30	0.966667	0.0333333	BT
chr1	57149	2	24	0.833333	0.166667	BT
chr1	57437	2	30	0.866667	0.133333	BT
chr1	57501	2	32	0.9375	0.0625	BT
chr1	57503	2	32	1	0	BT
chr1	57518	2	32	0.8125	0.1875	BT
chr1	57519	2	32	1	0	BT
chr1	57520	2	32	1	0	BT
chr1	57525	2	32	0.75	0.25	BT
chr1	57607	2	32	1	0	BT
chr1	57630	2	32	1	0	BT
chr1	57765	2	32	0.9375	0.0625	BT
chr1	57773	2	32	0.90625	0.09375	BT
chr1	57774	2	32	0.8125	0.1875	BT
chr1	57777	2	32	0.9375	0.0625	BT
chr1	58158	2	30	0.933333	0.0666667	BT
chr1	58186	2	28	0.25	0.75	BT
chr1	58244	2	32	0.9375	0.0625	BT
chr1	58327	2	32	1	0	BT
chr1	58432	2	32	0.625	0.375	BT
chr1	58725	2	32	0.875	0.125	BT
chr1	58727	2	32	0.875	0.125	BT
chr1	58741	2	32	1	0	BT
chr1	58834	2	24	0.0416667	0.958333	BT
chr1	58998	2	32	0.5	0.5	BT
chr1	59085	2	30	0.766667	0.233333	BT
chr1	59116	2	30	0.866667	0.133333	BT
chr1	59181	2	32	0.875	0.125	BT
chr1	59303	2	32	1	0	BT
chr1	59337	2	28	0.892857	0.107143	BT
chr1	59396	2	32	0.71875	0.28125	BT
chr1	59480	2	32	0.90625	0.09375	BT
chr1	59519	2	30	0.533333	0.466667	BT
chr1	60029	2	26	1	0	BT
chr1	60399	2	30	0.933333	0.0666667	BT
chr1	60508	2	32	0.5625	0.4375	BT
chr1	60613	2	30	0.466667	0.533333	BT
chr1	60974	2	30	1	0	BT
chr1	61111	2	32	0.75	0.25	BT
chr1	61119	2	32	0.84375	0.15625	BT
chr1	61297	2	30	1	0	BT
chr1	61463	2	30	0.833333	0.166667	BT
chr1	61482	2	30	1	0	BT
chr1	61570	2	30	0.666667	0.333333	BT
chr1	61637	2	32	0.90625	0.09375	BT
chr1	61858	2	30	1	0	BT
chr1	62095	2	30	1	0	BT
chr1	62318	2	32	1	0	BT
chr1	62404	2	22	1	0	BT
chr1	62452	2	26	1	0	BT
chr1	62470	2	30	0.833333	0.166667	BT
chr1	62811	2	30	0.9	0.1	BT
chr1	63165	2	30	1	0	BT
chr1	63242	2	32	1	0	BT
chr1	63331	2	32	1	0	BT
chr1	63602	2	32	1	0	BT
chr1	63876	2	32	0.9375	0.0625	BT
chr1	63894	2	32	1	0	BT
chr1	63917	2	30	0.9	0.1	BT
chr1	63920	2	30	1	0	BT
chr1	63962	2	28	1	0	BT
chr1	63988	2	32	0.9375	0.0625	BT
chr1	64014	2	32	1	0	BT
chr1	64063	2	30	0.766667	0.233333	BT
chr1	64317	2	32	0.90625	0.09375	BT
chr1	64349	2	30	1	0	BT
chr1	64449	2	32	1	0	BT
chr1	64484	2	26	1	0	BT
chr1	64553	2	30	0.933333	0.0666667	BT
chr1	64556	2	30	0.866667	0.133333	BT
chr1	64566	2	30	0.8	0.2	BT
chr1	64574	2	30	0.9	0.1	BT
chr1	64605	2	26	1	0	BT
chr1	64648	2	30	1	0	BT
chr1	64700	2	32	0.9375	0.0625	BT
chr1	64919	2	32	1	0	BT
chr1	64927	2	32	0.8125	0.1875	BT
chr1	64973	2	32	0.875	0.125	BT
chr1	65346	2	32	0.71875	0.28125	BT
chr1	65421	2	32	0.6875	0.3125	BT
chr1	65634	2	30	0.9	0.1	BT
chr1	65661	2	30	0.833333	0.166667	BT
chr1	65683	2	32	1	0	BT
chr1	65697	2	32	0.5625	0.4375	BT
chr1	65783	2	30	0.866667	0.133333	BT
chr1	65849	2	32	1	0	BT
chr1	65854	2	32	1	0	BT
chr1	65876	2	32	1	0	BT
chr1	66212	2	30	0.8	0.2	BT
chr1	66284	2	32	1	0	BT
chr1	66304	2	32	0.90625	0.09375	BT
chr1	66309	2	32	0.875	0.125	BT
chr1	66331	2	30	1	0	BT
chr1	66343	2	30	0.4	0.6	BT
chr1	66654	2	32	0.96875	0.03125	BT
chr1	66666	2	32	0.75	0.25	BT
chr1	66668	2	32	0.9375	0.0625	BT
chr1	67148	2	22	0.772727	0.227273	BT
chr1	67160	2	22	1	0	BT
chr1	67171	2	22	1	0	BT
chr1	67266	2	30	0.766667	0.233333	BT
chr1	67519	2	32	0.34375	0.65625	BT
chr1	67985	2	32	0.9375	0.0625	BT
chr1	68108	2	32	0.9375	0.0625	BT
chr1	68181	2	32	1	0	BT
chr1	68300	2	32	0.9375	0.0625	BT
chr1	68304	2	32	0.9375	0.0625	BT
chr1	68308	2	32	0.8125	0.1875	BT
chr1	68428	2	32	0.875	0.125	BT
chr1	68429	2	32	0.90625	0.09375	BT
chr1	68454	2	28	0.464286	0.535714	BT
chr1	69009	2	32	0.625	0.375	BT
chr1	69111	2	32	0.96875	0.03125	BT
chr1	69138	2	30	0.8	0.2	BT
chr1	69163	2	24	1	0	BT
chr1	69181	2	24	1	0	BT
chr1	69211	2	28	0.928571	0.0714286	BT
chr1	69363	2	32	0.40625	0.59375	BT
chr1	69598	2	32	0.78125	0.21875	BT
chr1	69904	2	32	1	0	BT
chr1	69906	2	32	0.65625	0.34375	BT
chr1	69908	2	32	0.625	0.375	BT
chr1	70088	2	32	0.8125	0.1875	BT
chr1	70759	2	30	0.9	0.1	BT
chr1	70769	2	30	0.933333	0.0666667	BT
chr1	70770	2	30	1	0	BT
chr1	71116	2	32	0.78125	0.21875	BT
chr1	71133	2	32	1	0	BT
chr1	71840	2	30	1	0	BT
chr1	71897	2	32	1	0	BT
chr1	71971	2	32	0.78125	0.21875	BT
chr1	72046	2	32	1	0	BT
chr1	72335	2	26	0.692308	0.307692	BT
chr1	72386	2	32	0.90625	0.09375	BT
chr1	72387	2	32	0.9375	0.0625	BT
chr1	72508	2	32	0.96875	0.03125	BT
chr1	72716	2	32	0.90625	0.09375	BT
chr1	72919	2	30	0.833333	0.166667	BT
chr1	72926	2	30	0.966667	0.0333333	BT
chr1	73051	2	32	1	0	BT
chr1	73077	2	32	1	0	BT
chr1	73136	2	30	1	0	BT
chr1	73918	2	32	1	0	BT
chr1	74155	2	30	1	0	BT
chr1	74181	2	30	0.733333	0.266667	BT
chr1	74190	2	30	0.9	0.1	BT
chr1	74262	2	30	0.966667	0.0333333	BT
chr1	74299	2	28	0.75	0.25	BT
chr1	74312	2	30	0.866667	0.133333	BT
chr1	74320	2	30	0.833333	0.166667	BT
chr1	74324	2	30	1	0	BT
chr1	74873	2	30	0.966667	0.0333333	BT
chr1	75725	2	32	0.84375	0.15625	BT
chr1	75932	2	30	0.9	0.1	BT
chr1	75943	2	30	1	0	BT
chr1	76348	2	32	0.625	0.375	BT
chr1	76433	2	30	1	0	BT
chr1	76455	2	30	1	0	BT
chr1	76540	2	30	1	0	BT
chr1	76543	2	30	1	0	BT
chr1	76735	2	28	1	0	BT
chr1	76759	2	30	1	0	BT
chr1	76760	2	30	1	0	BT
chr1	76782	2	30	1	0	BT
chr1	76999	2	30	1	0	BT
chr1	77226	2	28	0.75	0.25	BT
chr1	77246	2	28	0.928571	0.0714286	BT
chr1	77247	2	28	0.928571	0.0714286	BT
chr1	77663	2	32	0.59375	0.40625	BT
chr1	77705	2	32	1	0	BT
chr1	77707	2	32	0.90625	0.09375	BT
chr1	78126	2	32	1	0	BT
chr1	78174	2	30	0.9	0.1	BT
chr1	78260	2	30	0.9	0.1	BT
chr1	78276	2	30	1	0	BT
chr1	78452	2	26	0.923077	0.0769231	BT
chr1	78461	2	30	1	0	BT
chr1	78471	2	30	1	0	BT
chr1	78473	2	30	1	0	BT
chr1	78584	2	28	0.857143	0.142857	BT
chr1	78920	2	28	0.75	0.25	BT
chr1	79026	2	30	1	0	BT
chr1	79243	2	32	1	0	BT
chr1	79514	2	32	1	0	BT
chr1	79782	2	32	0.96875	0.03125	BT
chr1	79842	2	32	0.34375	0.65625	BT
chr1	80191	2	32	1	0	BT
chr1	80415	2	32	0.53125	0.46875	BT
chr1	80643	2	32	1	0	BT
chr1	80769	2	32	0.71875	0.28125	BT
chr1	80777	2	32	0.84375	0.15625	BT
chr1	80838	2	32	0.84375	0.15625	BT
chr1	80845	2	32	1	0	BT
chr1	81045	2	30	1	0	BT
chr1	81046	2	30	1	0	BT
chr1	81271	2	32	0.96875	0.03125	BT
chr1	81513	2	28	0.857143	0.142857	BT
chr1	81894	2	32	1	0	BT
chr1	82146	2	28	0.785714	0.214286	BT
chr1	82304	2	32	0.9375	0.0625	BT
chr1	82305	2	32	0.9375	0.0625	BT
chr1	82359	2	32	0.875	0.125	BT
chr1	82581	2	28	0.892857	0.107143	BT
chr1	82650	2	30	0.533333	0.466667	BT
chr1	83142	2	32	0.78125	0.21875	BT
chr1	83408	2	30	0.0666667	0.933333	BT
chr1	83420	2	32	0.8125	0.1875	BT
chr1	83468	2	32	1	0	BT
chr1	83676	2	32	0.0625	0.9375	BT
chr1	83897	2	28	0.428571	0.571429	BT
chr1	84185	2	32	0.8125	0.1875	BT
chr1	84791	2	32	0.8125	0.1875	BT
chr1	84896	2	32	0.9375	0.0625	BT
chr1	85016	2	28	1	0	BT
chr1	85062	2	32	0.71875	0.28125	BT
chr1	85088	2	30	0.966667	0.0333333	BT
chr1	85097	2	30	0.933333	0.0666667	BT
chr1	85377	2	32	0.625	0.375	BT
chr1	85540	2	32	1	0	BT
chr1	85546	2	32	1	0	BT
chr1	85762	2	32	0.9375	0.0625	BT
chr1	86009	2	28	0.821429	0.178571	BT
chr1	86044	2	32	0.84375	0.15625	BT
chr1	86096	2	32	0.6875	0.3125	BT
chr1	86224	2	30	0.5	0.5	BT
chr1	86448	2	28	0.857143	0.142857	BT
chr1	86461	2	28	0.964286	0.0357143	BT
chr1	86464	2	28	0.75	0.25	BT
chr1	86745	2	30	0.833333	0.166667	BT
chr1	86755	2	30	0.233333	0.766667	BT
chr1	86884	2	32	1	0	BT
chr1	87024	2	30	1	0	BT
chr1	87030	2	30	0.933333	0.0666667	BT
chr1	87074	2	28	1	0	BT
chr1	87405	2	28	0.892857	0.107143	BT
chr1	87667	2	30	1	0	BT
chr1	87979	2	32	0.9375	0.0625	BT
chr1	88077	2	30	0.866667	0.133333	BT
chr1	88081	2	30	1	0	BT
chr1	88084	2	30	1	0	BT
chr1	88364	2	32	0.96875	0.03125	BT
chr1	88377	2	32	1	0	BT
chr1	88444	2	32	0.8125	0.1875	BT
chr1	88599	2	30	0.933333	0.0666667	BT
chr1	88967	2	32	1	0	BT
chr1	88981	2	32	0.90625	0.09375	BT
chr1	89053	2	32	0.9375	0.0625	BT
chr1	89380	2	32	1	0	BT
chr1	89465	2	30	1	0	BT
chr1	89492	2	30	1	0	BT
chr1	89494	2	30	1	0	BT
chr1	89881	2	32	1	0	BT
chr1	90227	2	32	0.9375	0.0625	BT
chr1	90423	2	32	0.875	0.125	BT
chr1	90424	2	32	0.65625	0.34375	BT
chr1	90640	2	32	0.9375	0.0625	BT
chr1	91143	2	32	0.90625	0.09375	BT
chr1	91217	2	30	0.9	0.1	BT
chr1	91480	2	30	1	0	BT
chr1	91884	2	32	0.875	0.125	BT
chr1	92006	2	30	0.966667	0.0333333	BT
chr1	92064	2	30	0.866667	0.133333	BT
chr1	92068	2	30	0.8	0.2	BT
chr1	92313	2	30	0.966667	0.0333333	BT
chr1	92633	2	32	0.90625	0.09375	BT
chr1	92657	2	32	1	0	BT
chr1	92690	2	30	1	0	BT
chr1	92734	2	28	0.892857	0.107143	BT
chr1	93029	2	32	0.875	0.125	BT
chr1	93324	2	32	1	0	BT
chr1	93338	2	32	1	0	BT
chr1	93341	2	32	1	0	BT
chr1	93342	2	32	1	0	BT
chr1	93705	2	32	0.5	0.5	BT
chr1	93811	2	32	0.9375	0.0625	BT
chr1	93931	2	30	0.7	0.3	BT
chr1	94497	2	32	1	0	BT
chr1	94699	2	32	0.40625	0.59375	BT
chr1	94807	2	26	1	0	BT
chr1	94948	2	32	0.75	0.25	BT
chr1	95022	2	32	1	0	BT
chr1	95373	2	28	0.892857	0.107143	BT
chr1	95501	2	32	1	0	BT
chr1	95563	2	30	1	0	BT
chr1	95860	2	28	0.678571	0.321429	BT
chr1	96039	2	30	0.933333	0.0666667	BT
chr1	96128	2	32	0.96875	0.03125	BT
chr1	96188	2	28	0.678571	0.321429	BT
chr1	96448	2	30	1	0	BT
chr1	96616	2	30	0.866667	0.133333	BT
chr1	96664	2	30	0.6	0.4	BT
chr1	96794	2	30	0.9	0.1	BT
chr1	96884	2	30	0.733333	0.266667	BT
chr1	96920	2	32	0.78125	0.21875	BT
chr1	96955	2	32	0.9375	0.0625	BT
chr1	97102	2	26	0.846154	0.153846	BT
chr1	97326	2	20	1	0	BT
chr1	97338	2	20	0.9	0.1	BT
chr1	97641	2	22	0.590909	0.409091	BT
chr1	97821	2	32	1	0	BT
chr1	97842	2	32	0.90625	0.09375	BT
chr1	97983	2	32	1	0	BT
chr1	98813	2	30	0.0333333	0.966667	BT
chr1	98873	2	22	1	0	BT
chr1	98884	2	22	0.863636	0.136364	BT
chr1	99133	2	32	0.9375	0.0625	BT
chr1	99588	2	30	0.9	0.1	BT
chr1	100344	2	32	0.8125	0.1875	BT
chr1	100360	2	32	1	0	BT
chr1	100362	2	32	1	0	BT
chr1	100365	2	32	1	0	BT
chr1	100457	2	28	0.928571	0.0714286	BT
chr1	100624	2	32	0.40625	0.59375	BT
chr1	100630	2	32	0.71875	0.28125	BT
chr1	101049	2	32	0.75	0.25	BT
chr1	101223	2	32	0.875	0.125	BT
chr1	101342	2	26	0.576923	0.423077	BT
chr1	101730	2	30	0.766667	0.233333	BT
chr1	101968	2	32	0.84375	0.15625	BT
chr1	101985	2	32	0.78125	0.21875	BT
chr1	102177	2	32	0.71875	0.28125	BT
chr1	102179	2	32	0.71875	0.28125	BT
chr1	102200	2	32	1	0	BT
chr1	102248	2	30	0.966667	0.0333333	BT
chr1	102451	2	28	0.75	0.25	BT
chr1	102526	2	32	1	0	BT
chr1	102539	2	30	0.966667	0.0333333	BT
chr1	102558	2	30	0.766667	0.233333	BT
chr1	102607	2	28	0.857143	0.142857	BT
chr1	102750	2	30	1	0	BT
chr1	102855	2	32	0.6875	0.3125	BT
chr1	103134	2	32	0.9375	0.0625	BT
chr1	103192	2	30	1	0	BT
chr1	103280	2	32	0.96875	0.03125	BT
chr1	103435	2	30	1	0	BT
chr1	103472	2	32	0	1	BT
chr1	103687	2	30	1	0	BT
chr1	104050	2	30	0.0666667	0.933333	BT
chr1	104084	2	30	1	0	BT
chr1	104086	2	30	1	0	BT
chr1	104425	2	30	0.466667	0.533333	BT
chr1	104470	2	30	0.933333	0.0666667	BT
chr1	104505	2	32	1	0	BT
chr1	104765	2	28	1	0	BT
chr1	104851	2	30	0.8	0.2	BT
chr1	105093	2	26	1	0	BT
chr1	105200	2	32	0.9375	0.0625	BT
chr1	105257	2	32	1	0	BT
chr1	105614	2	30	1	0	BT
chr1	106156	2	32	0.9375	0.0625	BT
chr1	106349	2	30	0.9	0.1	BT
chr1	106356	2	30	0.9	0.1	BT
chr1	106390	2	30	0.466667	0.533333	BT
chr1	106518	2	28	0.892857	0.107143	BT
chr1	106644	2	30	1	0	BT
chr1	106734	2	32	1	0	BT
chr1	106737	2	32	1	0	BT
chr1	106873	2	30	1	0	BT
chr1	106983	2	32	0.9375	0.0625	BT
chr1	107250	2	30	0.933333	0.0666667	BT
chr1	107252	2	30	0.9	0.1	BT
chr1	107429	2	28	0.142857	0.857143	BT
chr1	107487	2	30	1	0	BT
chr1	107544	2	26	0.423077	0.576923	BT
chr1	107813	2	30	1	0	BT
chr1	108038	2	32	1	0	BT
chr1	108055	2	32	1	0	BT
chr1	108190	2	32	0.875	0.125	BT
chr1	108280	2	30	0.966667	0.0333333	BT
chr1	108330	2	32	0.84375	0.15625	BT
chr1	108762	2	30	0.3	0.7	BT
chr1	108882	2	28	0.964286	0.0357143	BT
chr1	108997	2	28	0.785714	0.214286	BT
chr1	109072	2	32	1	0	BT
chr1	109301	2	32	0.8125	0.1875	BT
chr1	109737	2	32	0.96875	0.03125	BT
chr1	109739	2	32	0.90625	0.09375	BT
chr1	109758	2	32	0.9375	0.0625	BT
chr1	109771	2	30	0.633333	0.366667	BT
chr1	110096	2	28	0.857143	0.142857	BT
chr1	110487	2	32	1	0	BT
chr1	111193	2	30	0.266667	0.733333	BT
chr1	111619	2	28	1	0	BT
chr1	111620	2	28	0.428571	0.571429	BT
chr1	111644	2	30	0.833333	0.166667	BT
chr1	111656	2	30	0.5	0.5	BT
chr1	111726	2	32	0.625	0.375	BT
chr1	111908	2	30	1	0	BT
chr1	112130	2	28	1	0	BT
chr1	112544	2	28	0.964286	0.0357143	BT
chr1	112593	2	32	1	0	BT
chr1	112654	2	32	0.90625	0.09375	BT
chr1	112699	2	32	0.9375	0.0625	BT
chr1	112736	2	30	1	0	BT
chr1	113023	2	28	0.678571	0.321429	BT
chr1	113120	2	32	1	0	BT
chr1	113158	2	30	0.933333	0.0666667	BT
chr1	113169	2	30	0.8	0.2	BT
chr1	113607	2	30	0.833333	0.166667	BT
chr1	113715	2	32	0.75	0.25	BT
chr1	114136	2	30	1	0	BT
chr1	114275	2	32	0.84375	0.15625	BT
chr1	114320	2	32	1	0	BT
chr1	114333	2	32	0.4375	0.5625	BT
chr1	114779	2	32	0.75	0.25	BT
chr1	115209	2	32	0.9375	0.0625	BT
chr1	115221	2	32	0.9375	0.0625	BT
chr1	115290	2	32	0.9375	0.0625	BT
chr1	115303	2	32	1	0	BT
chr1	115409	2	30	0.966667	0.0333333	BT
chr1	115856	2	30	0.966667	0.0333333	BT
chr1	115950	2	32	0.96875	0.03125	BT
chr1	116018	2	32	0.8125	0.1875	BT
chr1	116022	2	32	0.84375	0.15625	BT
chr1	116062	2	30	1	0	BT
chr1	116094	2	32	0.8125	0.1875	BT
chr1	116328	2	30	0.933333	0.0666667	BT
chr1	116351	2	30	1	0	BT
chr1	116740	2	32	1	0	BT
chr1	116909	2	30	1	0	BT
chr1	117250	2	28	1	0	BT
chr1	117262	2	30	0.433333	0.566667	BT
chr1	117674	2	28	0.892857	0.107143	BT
chr1	117725	2	32	0.78125	0.21875	BT
chr1	117738	2	32	0.96875	0.03125	BT
chr1	118053	2	32	1	0	BT
chr1	118090	2	32	0.875	0.125	BT
chr1	118132	2	32	0.90625	0.09375	BT
chr1	118136	2	32	0.84375	0.15625	BT
chr1	118141	2	32	0.9375	0.0625	BT
chr1	118143	2	32	1	0	BT
chr1	118218	2	32	0.90625	0.09375	BT
chr1	118244	2	32	1	0	BT
chr1	118458	2	30	1	0	BT
chr1	118524	2	30	1	0	BT
chr1	118566	2	30	0.9	0.1	BT
chr1	118668	2	30	1	0	BT
chr1	118864	2	26	0.846154	0.153846	BT
chr1	118868	2	26	1	0	BT
chr1	119081	2	28	1	0	BT
chr1	119404	2	30	0.733333	0.266667	BT
chr1	119920	2	30	1	0	BT
chr1	119941	2	30	0.933333	0.0666667	BT
chr1	119947	2	30	1	0	BT
chr1	120268	2	30	0.533333	0.466667	BT
chr1	120295	2	22	1	0	BT
chr1	120591	2	30	1	0	BT
chr1	120612	2	32	1	0	BT
chr1	120643	2	30	0.266667	0.733333	BT
chr1	120913	2	32	0.9375	0.0625	BT
chr1	120989	2	30	0.833333	0.166667	BT
chr1	121087	2	28	0.25	0.75	BT
chr1	121195	2	32	0.78125	0.21875	BT
chr1	121399	2	30	0.866667	0.133333	BT
chr1	121772	2	28	0.892857	0.107143	BT
chr1	121836	2	30	1	0	BT
chr1	121975	2	26	0.846154	0.153846	BT
chr1	122182	2	26	1	0	BT
chr1	122241	2	28	0.892857	0.107143	BT
chr1	122442	2	28	0.785714	0.214286	BT
chr1	122657	2	28	0.892857	0.107143	BT
chr1	123136	2	26	1	0	BT
chr1	123212	2	28	0.75	0.25	BT
chr1	123310	2	32	1	0	BT
chr1	123333	2	32	0.8125	0.1875	BT
chr1	123340	2	30	1	0	BT
chr1	123564	2	28	0.928571	0.0714286	BT
chr1	123596	2	26	1	0	BT
chr1	123677	2	32	1	0	BT
chr1	123713	2	30	1	0	BT
chr1	123752	2	32	1	0	BT
chr1	123760	2	32	0.90625	0.09375	BT
chr1	124014	2	30	1	0	BT
chr1	124074	2	30	0.8	0.2	BT
chr1	124181	2	32	1	0	BT
chr1	124240	2	32	0.9375	0.0625	BT
chr1	124320	2	32	0.65625	0.34375	BT
chr1	124505	2	30	0.866667	0.133333	BT
chr1	124658	2	28	1	0	BT
chr1	124697	2	32	0.65625	0.34375	BT
chr1	124702	2	32	0.65625	0.34375	BT
chr1	124714	2	30	0.7	0.3	BT
chr1	124725	2	30	1	0	BT
chr1	124787	2	30	1	0	BT
chr1	124802	2	30	1	0	BT
chr1	124828	2	30	0.666667	0.333333	BT
chr1	125560	2	30	1	0	BT
chr1	125956	2	30	0.1	0.9	BT
chr1	126111	2	32	1	0	BT
chr1	126320	2	28	0.964286	0.0357143	BT
